agent,picks,wins,pick_rate_pct,win_rate_pct,event_id,event,year,total_maps,patch_before,patch_after
Chamber,8,4,3.6,50.0,2499,VCT CN Stage 2 2025,2025,111,,
Clove,9,6,4.1,66.7,2499,VCT CN Stage 2 2025,2025,111,,
Cypher,73,36,32.9,49.3,2499,VCT CN Stage 2 2025,2025,111,,
Deadlock,35,17,15.8,48.6,2499,VCT CN Stage 2 2025,2025,111,,
Fade,84,42,37.8,50.0,2499,VCT CN Stage 2 2025,2025,111,,
Gekko,10,6,4.5,60.0,2499,VCT CN Stage 2 2025,2025,111,,
Harbor,7,3,3.2,42.9,2499,VCT CN Stage 2 2025,2025,111,,
Iso,6,3,2.7,50.0,2499,VCT CN Stage 2 2025,2025,111,,
Jett,37,18,16.7,48.6,2499,VCT CN Stage 2 2025,2025,111,,
Kayo,26,13,11.7,50.0,2499,VCT CN Stage 2 2025,2025,111,,
Killjoy,54,27,24.3,50.0,2499,VCT CN Stage 2 2025,2025,111,,
Neon,86,45,38.7,52.3,2499,VCT CN Stage 2 2025,2025,111,,
Omen,190,95,85.6,50.0,2499,VCT CN Stage 2 2025,2025,111,,
Phoenix,3,1,1.4,33.3,2499,VCT CN Stage 2 2025,2025,111,,
Raze,56,29,25.2,51.8,2499,VCT CN Stage 2 2025,2025,111,,
Reyna,2,1,0.9,50.0,2499,VCT CN Stage 2 2025,2025,111,,
Sage,5,1,2.3,20.0,2499,VCT CN Stage 2 2025,2025,111,,
Skye,4,3,1.8,75.0,2499,VCT CN Stage 2 2025,2025,111,,
Sova,115,57,51.8,49.6,2499,VCT CN Stage 2 2025,2025,111,,
Viper,111,61,50.0,55.0,2499,VCT CN Stage 2 2025,2025,111,,
Vyse,50,24,22.5,48.0,2499,VCT CN Stage 2 2025,2025,111,,
Waylay,9,2,4.1,22.2,2499,VCT CN Stage 2 2025,2025,111,,
Yoru,83,40,37.4,48.2,2499,VCT CN Stage 2 2025,2025,111,,
Astra,18,9,8.7,50.0,2500,VCT Pacific Stage 2 2025,2025,104,,
Breach,10,6,4.8,60.0,2500,VCT Pacific Stage 2 2025,2025,104,,
Brimstone,18,10,8.7,55.6,2500,VCT Pacific Stage 2 2025,2025,104,,
Chamber,11,8,5.3,72.7,2500,VCT Pacific Stage 2 2025,2025,104,,
Clove,1,0,0.5,0.0,2500,VCT Pacific Stage 2 2025,2025,104,,
Cypher,51,26,24.5,51.0,2500,VCT Pacific Stage 2 2025,2025,104,,
Deadlock,42,15,20.2,35.7,2500,VCT Pacific Stage 2 2025,2025,104,,
Fade,92,50,44.2,54.3,2500,VCT Pacific Stage 2 2025,2025,104,,
Gekko,12,5,5.8,41.7,2500,VCT Pacific Stage 2 2025,2025,104,,
Harbor,4,2,1.9,50.0,2500,VCT Pacific Stage 2 2025,2025,104,,
Iso,8,4,3.8,50.0,2500,VCT Pacific Stage 2 2025,2025,104,,
Jett,29,16,13.9,55.2,2500,VCT Pacific Stage 2 2025,2025,104,,
Kayo,15,7,7.2,46.7,2500,VCT Pacific Stage 2 2025,2025,104,,
Killjoy,47,23,22.6,48.9,2500,VCT Pacific Stage 2 2025,2025,104,,
Neon,70,31,33.7,44.3,2500,VCT Pacific Stage 2 2025,2025,104,,
Omen,155,76,74.5,49.0,2500,VCT Pacific Stage 2 2025,2025,104,,
Raze,59,32,28.4,54.2,2500,VCT Pacific Stage 2 2025,2025,104,,
Sage,27,16,13.0,59.3,2500,VCT Pacific Stage 2 2025,2025,104,,
Skye,4,1,1.9,25.0,2500,VCT Pacific Stage 2 2025,2025,104,,
Sova,106,50,51.0,47.2,2500,VCT Pacific Stage 2 2025,2025,104,,
Tejo,4,1,1.9,25.0,2500,VCT Pacific Stage 2 2025,2025,104,,
Viper,117,53,56.2,45.3,2500,VCT Pacific Stage 2 2025,2025,104,,
Vyse,41,23,19.7,56.1,2500,VCT Pacific Stage 2 2025,2025,104,,
Waylay,23,14,11.1,60.9,2500,VCT Pacific Stage 2 2025,2025,104,,
Yoru,76,42,36.5,55.3,2500,VCT Pacific Stage 2 2025,2025,104,,
Astra,1,1,0.5,100.0,2501,VCT Americas Stage 2 2025,2025,106,,
Breach,20,6,9.4,30.0,2501,VCT Americas Stage 2 2025,2025,106,,
Brimstone,28,14,13.2,50.0,2501,VCT Americas Stage 2 2025,2025,106,,
Chamber,22,15,10.4,68.2,2501,VCT Americas Stage 2 2025,2025,106,,
Clove,4,1,1.9,25.0,2501,VCT Americas Stage 2 2025,2025,106,,
Cypher,56,22,26.4,39.3,2501,VCT Americas Stage 2 2025,2025,106,,
Deadlock,8,3,3.8,37.5,2501,VCT Americas Stage 2 2025,2025,106,,
Fade,90,47,42.5,52.2,2501,VCT Americas Stage 2 2025,2025,106,,
Gekko,6,2,2.8,33.3,2501,VCT Americas Stage 2 2025,2025,106,,
Harbor,7,5,3.3,71.4,2501,VCT Americas Stage 2 2025,2025,106,,
Iso,9,4,4.2,44.4,2501,VCT Americas Stage 2 2025,2025,106,,
Jett,39,18,18.4,46.2,2501,VCT Americas Stage 2 2025,2025,106,,
Kayo,24,12,11.3,50.0,2501,VCT Americas Stage 2 2025,2025,106,,
Killjoy,34,18,16.0,52.9,2501,VCT Americas Stage 2 2025,2025,106,,
Neon,71,33,33.5,46.5,2501,VCT Americas Stage 2 2025,2025,106,,
Omen,166,82,78.3,49.4,2501,VCT Americas Stage 2 2025,2025,106,,
Phoenix,1,0,0.5,0.0,2501,VCT Americas Stage 2 2025,2025,106,,
Raze,60,30,28.3,50.0,2501,VCT Americas Stage 2 2025,2025,106,,
Sage,16,7,7.5,43.8,2501,VCT Americas Stage 2 2025,2025,106,,
Skye,17,9,8.0,52.9,2501,VCT Americas Stage 2 2025,2025,106,,
Sova,107,52,50.5,48.6,2501,VCT Americas Stage 2 2025,2025,106,,
Tejo,8,5,3.8,62.5,2501,VCT Americas Stage 2 2025,2025,106,,
Viper,125,64,59.0,51.2,2501,VCT Americas Stage 2 2025,2025,106,,
Vyse,63,37,29.7,58.7,2501,VCT Americas Stage 2 2025,2025,106,,
Waylay,7,5,3.3,71.4,2501,VCT Americas Stage 2 2025,2025,106,,
Yoru,71,38,33.5,53.5,2501,VCT Americas Stage 2 2025,2025,106,,
Astra,27,13,22.5,48.1,926,Masters Reykjavik 2022,2022,60,4.08,
Breach,36,17,30.0,47.2,926,Masters Reykjavik 2022,2022,60,4.08,
Brimstone,18,9,15.0,50.0,926,Masters Reykjavik 2022,2022,60,4.08,
Chamber,53,33,44.2,62.3,926,Masters Reykjavik 2022,2022,60,4.08,
Cypher,15,7,12.5,46.7,926,Masters Reykjavik 2022,2022,60,4.08,
Jett,78,37,65.0,47.4,926,Masters Reykjavik 2022,2022,60,4.08,
Kayo,40,21,33.3,52.5,926,Masters Reykjavik 2022,2022,60,4.08,
Killjoy,32,13,26.7,40.6,926,Masters Reykjavik 2022,2022,60,4.08,
Neon,10,8,8.3,80.0,926,Masters Reykjavik 2022,2022,60,4.08,
Omen,46,23,38.3,50.0,926,Masters Reykjavik 2022,2022,60,4.08,
Raze,34,18,28.3,52.9,926,Masters Reykjavik 2022,2022,60,4.08,
Reyna,5,2,4.2,40.0,926,Masters Reykjavik 2022,2022,60,4.08,
Sage,51,23,42.5,45.1,926,Masters Reykjavik 2022,2022,60,4.08,
Skye,39,20,32.5,51.3,926,Masters Reykjavik 2022,2022,60,4.08,
Sova,59,29,49.2,49.2,926,Masters Reykjavik 2022,2022,60,4.08,
Viper,55,26,45.8,47.3,926,Masters Reykjavik 2022,2022,60,4.08,
Yoru,2,1,1.7,50.0,926,Masters Reykjavik 2022,2022,60,4.08,
Viper,105,52,68.2,49.5,2682,VCT Americas Kickoff 2026,2026,77,,
Waylay,82,45,53.2,54.9,2682,VCT Americas Kickoff 2026,2026,77,,
Astra,72,37,46.8,51.4,2682,VCT Americas Kickoff 2026,2026,77,,
Sova,70,36,45.5,51.4,2682,VCT Americas Kickoff 2026,2026,77,,
Yoru,70,30,45.5,42.9,2682,VCT Americas Kickoff 2026,2026,77,,
Omen,62,31,40.3,50.0,2682,VCT Americas Kickoff 2026,2026,77,,
Fade,46,20,29.9,43.5,2682,VCT Americas Kickoff 2026,2026,77,,
Chamber,31,17,20.1,54.8,2682,VCT Americas Kickoff 2026,2026,77,,
Neon,30,13,19.5,43.3,2682,VCT Americas Kickoff 2026,2026,77,,
Kayo,28,12,18.2,42.9,2682,VCT Americas Kickoff 2026,2026,77,,
Tejo,28,14,18.2,50.0,2682,VCT Americas Kickoff 2026,2026,77,,
Skye,27,16,17.5,59.3,2682,VCT Americas Kickoff 2026,2026,77,,
Brimstone,24,13,15.6,54.2,2682,VCT Americas Kickoff 2026,2026,77,,
Killjoy,23,11,14.9,47.8,2682,VCT Americas Kickoff 2026,2026,77,,
Jett,21,9,13.6,42.9,2682,VCT Americas Kickoff 2026,2026,77,,
Veto,13,8,8.4,61.5,2682,VCT Americas Kickoff 2026,2026,77,,
Raze,11,7,7.1,63.6,2682,VCT Americas Kickoff 2026,2026,77,,
Breach,10,5,6.5,50.0,2682,VCT Americas Kickoff 2026,2026,77,,
Sage,8,4,5.2,50.0,2682,VCT Americas Kickoff 2026,2026,77,,
Iso,4,2,2.6,50.0,2682,VCT Americas Kickoff 2026,2026,77,,
Cypher,2,1,1.3,50.0,2682,VCT Americas Kickoff 2026,2026,77,,
Phoenix,2,2,1.3,100.0,2682,VCT Americas Kickoff 2026,2026,77,,
Harbor,1,0,0.6,0.0,2682,VCT Americas Kickoff 2026,2026,77,,
Yoru,124,60,77.5,48.4,2683,VCT Pacific Kickoff 2026,2026,80,,
Viper,90,48,56.2,53.3,2683,VCT Pacific Kickoff 2026,2026,80,,
Omen,84,42,52.5,50.0,2683,VCT Pacific Kickoff 2026,2026,80,,
Fade,73,39,45.6,53.4,2683,VCT Pacific Kickoff 2026,2026,80,,
Sova,72,36,45.0,50.0,2683,VCT Pacific Kickoff 2026,2026,80,,
Astra,64,30,40.0,46.9,2683,VCT Pacific Kickoff 2026,2026,80,,
Neon,43,22,26.9,51.2,2683,VCT Pacific Kickoff 2026,2026,80,,
Waylay,40,17,25.0,42.5,2683,VCT Pacific Kickoff 2026,2026,80,,
Raze,39,21,24.4,53.8,2683,VCT Pacific Kickoff 2026,2026,80,,
Jett,25,12,15.6,48.0,2683,VCT Pacific Kickoff 2026,2026,80,,
Brimstone,24,14,15.0,58.3,2683,VCT Pacific Kickoff 2026,2026,80,,
Killjoy,20,11,12.5,55.0,2683,VCT Pacific Kickoff 2026,2026,80,,
Veto,19,9,11.9,47.4,2683,VCT Pacific Kickoff 2026,2026,80,,
Chamber,19,12,11.9,63.2,2683,VCT Pacific Kickoff 2026,2026,80,,
Cypher,17,5,10.6,29.4,2683,VCT Pacific Kickoff 2026,2026,80,,
Tejo,13,6,8.1,46.2,2683,VCT Pacific Kickoff 2026,2026,80,,
Skye,11,5,6.9,45.5,2683,VCT Pacific Kickoff 2026,2026,80,,
Phoenix,10,5,6.2,50.0,2683,VCT Pacific Kickoff 2026,2026,80,,
Kayo,5,3,3.1,60.0,2683,VCT Pacific Kickoff 2026,2026,80,,
Breach,3,2,1.9,66.7,2683,VCT Pacific Kickoff 2026,2026,80,,
Sage,2,1,1.2,50.0,2683,VCT Pacific Kickoff 2026,2026,80,,
Vyse,2,0,1.2,0.0,2683,VCT Pacific Kickoff 2026,2026,80,,
Harbor,1,0,0.6,0.0,2683,VCT Pacific Kickoff 2026,2026,80,,
Yoru,86,49,54.4,57.0,2684,VCT EMEA Kickoff 2026,2026,79,,
Viper,83,40,52.5,48.2,2684,VCT EMEA Kickoff 2026,2026,79,,
Sova,82,44,51.9,53.7,2684,VCT EMEA Kickoff 2026,2026,79,,
Astra,78,38,49.4,48.7,2684,VCT EMEA Kickoff 2026,2026,79,,
Waylay,63,29,39.9,46.0,2684,VCT EMEA Kickoff 2026,2026,79,,
Omen,62,29,39.2,46.8,2684,VCT EMEA Kickoff 2026,2026,79,,
Fade,47,23,29.7,48.9,2684,VCT EMEA Kickoff 2026,2026,79,,
Neon,35,24,22.2,68.6,2684,VCT EMEA Kickoff 2026,2026,79,,
Brimstone,32,15,20.3,46.9,2684,VCT EMEA Kickoff 2026,2026,79,,
Raze,31,13,19.6,41.9,2684,VCT EMEA Kickoff 2026,2026,79,,
Cypher,30,18,19.0,60.0,2684,VCT EMEA Kickoff 2026,2026,79,,
Kayo,26,10,16.5,38.5,2684,VCT EMEA Kickoff 2026,2026,79,,
Skye,22,9,13.9,40.9,2684,VCT EMEA Kickoff 2026,2026,79,,
Jett,22,13,13.9,59.1,2684,VCT EMEA Kickoff 2026,2026,79,,
Tejo,22,6,13.9,27.3,2684,VCT EMEA Kickoff 2026,2026,79,,
Killjoy,15,5,9.5,33.3,2684,VCT EMEA Kickoff 2026,2026,79,,
Chamber,13,8,8.2,61.5,2684,VCT EMEA Kickoff 2026,2026,79,,
Breach,9,6,5.7,66.7,2684,VCT EMEA Kickoff 2026,2026,79,,
Vyse,8,5,5.1,62.5,2684,VCT EMEA Kickoff 2026,2026,79,,
Sage,8,2,5.1,25.0,2684,VCT EMEA Kickoff 2026,2026,79,,
Phoenix,7,4,4.4,57.1,2684,VCT EMEA Kickoff 2026,2026,79,,
Veto,6,3,3.8,50.0,2684,VCT EMEA Kickoff 2026,2026,79,,
Gekko,3,2,1.9,66.7,2684,VCT EMEA Kickoff 2026,2026,79,,
Yoru,100,53,59.5,53.0,2685,VCT CN Kickoff 2026,2026,84,,
Omen,89,44,53.0,49.4,2685,VCT CN Kickoff 2026,2026,84,,
Viper,87,42,51.8,48.3,2685,VCT CN Kickoff 2026,2026,84,,
Sova,78,36,46.4,46.2,2685,VCT CN Kickoff 2026,2026,84,,
Astra,70,37,41.7,52.9,2685,VCT CN Kickoff 2026,2026,84,,
Waylay,66,37,39.3,56.1,2685,VCT CN Kickoff 2026,2026,84,,
Neon,64,29,38.1,45.3,2685,VCT CN Kickoff 2026,2026,84,,
Fade,60,31,35.7,51.7,2685,VCT CN Kickoff 2026,2026,84,,
Killjoy,35,17,20.8,48.6,2685,VCT CN Kickoff 2026,2026,84,,
Cypher,24,12,14.3,50.0,2685,VCT CN Kickoff 2026,2026,84,,
Tejo,22,10,13.1,45.5,2685,VCT CN Kickoff 2026,2026,84,,
Raze,22,10,13.1,45.5,2685,VCT CN Kickoff 2026,2026,84,,
Brimstone,22,11,13.1,50.0,2685,VCT CN Kickoff 2026,2026,84,,
Breach,17,7,10.1,41.2,2685,VCT CN Kickoff 2026,2026,84,,
Skye,14,8,8.3,57.1,2685,VCT CN Kickoff 2026,2026,84,,
Jett,13,6,7.7,46.2,2685,VCT CN Kickoff 2026,2026,84,,
Veto,12,5,7.1,41.7,2685,VCT CN Kickoff 2026,2026,84,,
Kayo,10,4,6.0,40.0,2685,VCT CN Kickoff 2026,2026,84,,
Chamber,8,5,4.8,62.5,2685,VCT CN Kickoff 2026,2026,84,,
Phoenix,7,5,4.2,71.4,2685,VCT CN Kickoff 2026,2026,84,,
Gekko,7,5,4.2,71.4,2685,VCT CN Kickoff 2026,2026,84,,
Reyna,4,0,2.4,0.0,2685,VCT CN Kickoff 2026,2026,84,,
Sage,3,3,1.8,100.0,2685,VCT CN Kickoff 2026,2026,84,,
Harbor,2,1,1.2,50.0,2685,VCT CN Kickoff 2026,2026,84,,
Iso,2,1,1.2,50.0,2685,VCT CN Kickoff 2026,2026,84,,
Vyse,2,1,1.2,50.0,2685,VCT CN Kickoff 2026,2026,84,,
Viper,73,36,61.9,49.3,2760,Masters Santiago 2026,2026,59,,
Yoru,73,39,61.9,53.4,2760,Masters Santiago 2026,2026,59,,
Omen,66,35,55.9,53.0,2760,Masters Santiago 2026,2026,59,,
Sova,59,28,50.0,47.5,2760,Masters Santiago 2026,2026,59,,
Neon,53,27,44.9,50.9,2760,Masters Santiago 2026,2026,59,,
Fade,45,28,38.1,62.2,2760,Masters Santiago 2026,2026,59,,
Astra,45,20,38.1,44.4,2760,Masters Santiago 2026,2026,59,,
Waylay,43,21,36.4,48.8,2760,Masters Santiago 2026,2026,59,,
Raze,16,8,13.6,50.0,2760,Masters Santiago 2026,2026,59,,
Skye,15,3,12.7,20.0,2760,Masters Santiago 2026,2026,59,,
Killjoy,15,8,12.7,53.3,2760,Masters Santiago 2026,2026,59,,
Cypher,15,9,12.7,60.0,2760,Masters Santiago 2026,2026,59,,
Vyse,13,5,11.0,38.5,2760,Masters Santiago 2026,2026,59,,
Chamber,11,6,9.3,54.5,2760,Masters Santiago 2026,2026,59,,
Phoenix,9,5,7.6,55.6,2760,Masters Santiago 2026,2026,59,,
Tejo,9,6,7.6,66.7,2760,Masters Santiago 2026,2026,59,,
Jett,9,4,7.6,44.4,2760,Masters Santiago 2026,2026,59,,
Brimstone,8,4,6.8,50.0,2760,Masters Santiago 2026,2026,59,,
Harbor,7,3,5.9,42.9,2760,Masters Santiago 2026,2026,59,,
Iso,3,0,2.5,0.0,2760,Masters Santiago 2026,2026,59,,
Gekko,1,0,0.8,0.0,2760,Masters Santiago 2026,2026,59,,
Kayo,1,0,0.8,0.0,2760,Masters Santiago 2026,2026,59,,
Veto,1,0,0.8,0.0,2760,Masters Santiago 2026,2026,59,,
Neon,64,38,80.0,59.4,2863,VCT EMEA Stage 1 2026,2026,40,,
Viper,39,21,48.8,53.8,2863,VCT EMEA Stage 1 2026,2026,40,,
Fade,38,19,47.5,50.0,2863,VCT EMEA Stage 1 2026,2026,40,,
Omen,34,16,42.5,47.1,2863,VCT EMEA Stage 1 2026,2026,40,,
Astra,31,14,38.8,45.2,2863,VCT EMEA Stage 1 2026,2026,40,,
Skye,22,13,27.5,59.1,2863,VCT EMEA Stage 1 2026,2026,40,,
Sova,19,8,23.8,42.1,2863,VCT EMEA Stage 1 2026,2026,40,,
Waylay,19,7,23.8,36.8,2863,VCT EMEA Stage 1 2026,2026,40,,
Raze,18,10,22.5,55.6,2863,VCT EMEA Stage 1 2026,2026,40,,
Cypher,18,9,22.5,50.0,2863,VCT EMEA Stage 1 2026,2026,40,,
Phoenix,16,12,20.0,75.0,2863,VCT EMEA Stage 1 2026,2026,40,,
Chamber,15,5,18.8,33.3,2863,VCT EMEA Stage 1 2026,2026,40,,
Brimstone,13,8,16.2,61.5,2863,VCT EMEA Stage 1 2026,2026,40,,
Vyse,9,3,11.2,33.3,2863,VCT EMEA Stage 1 2026,2026,40,,
Killjoy,8,6,10.0,75.0,2863,VCT EMEA Stage 1 2026,2026,40,,
Kayo,8,3,10.0,37.5,2863,VCT EMEA Stage 1 2026,2026,40,,
Jett,8,1,10.0,12.5,2863,VCT EMEA Stage 1 2026,2026,40,,
Tejo,6,0,7.5,0.0,2863,VCT EMEA Stage 1 2026,2026,40,,
Harbor,6,3,7.5,50.0,2863,VCT EMEA Stage 1 2026,2026,40,,
Veto,5,2,6.2,40.0,2863,VCT EMEA Stage 1 2026,2026,40,,
Breach,3,1,3.8,33.3,2863,VCT EMEA Stage 1 2026,2026,40,,
Iso,1,1,1.2,100.0,2863,VCT EMEA Stage 1 2026,2026,40,,
Neon,44,22,78.6,50.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Omen,27,14,48.2,51.9,2775,VCT Pacific Stage 1 2026,2026,28,,
Waylay,21,7,37.5,33.3,2775,VCT Pacific Stage 1 2026,2026,28,,
Fade,19,10,33.9,52.6,2775,VCT Pacific Stage 1 2026,2026,28,,
Skye,19,11,33.9,57.9,2775,VCT Pacific Stage 1 2026,2026,28,,
Viper,19,9,33.9,47.4,2775,VCT Pacific Stage 1 2026,2026,28,,
Brimstone,17,9,30.4,52.9,2775,VCT Pacific Stage 1 2026,2026,28,,
Cypher,14,7,25.0,50.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Astra,13,6,23.2,46.2,2775,VCT Pacific Stage 1 2026,2026,28,,
Killjoy,11,5,19.6,45.5,2775,VCT Pacific Stage 1 2026,2026,28,,
Raze,11,9,19.6,81.8,2775,VCT Pacific Stage 1 2026,2026,28,,
Breach,11,4,19.6,36.4,2775,VCT Pacific Stage 1 2026,2026,28,,
Chamber,9,6,16.1,66.7,2775,VCT Pacific Stage 1 2026,2026,28,,
Sova,8,2,14.3,25.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Tejo,8,3,14.3,37.5,2775,VCT Pacific Stage 1 2026,2026,28,,
Phoenix,6,5,10.7,83.3,2775,VCT Pacific Stage 1 2026,2026,28,,
Vyse,5,2,8.9,40.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Veto,5,3,8.9,60.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Jett,4,1,7.1,25.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Deadlock,4,3,7.1,75.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Kayo,2,1,3.6,50.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Gekko,1,1,1.8,100.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Iso,1,0,1.8,0.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Yoru,1,0,1.8,0.0,2775,VCT Pacific Stage 1 2026,2026,28,,
Neon,19,11,73.1,57.9,2860,VCT Americas Stage 1 2026,2026,13,,
Sova,14,7,53.8,50.0,2860,VCT Americas Stage 1 2026,2026,13,,
Viper,13,5,50.0,38.5,2860,VCT Americas Stage 1 2026,2026,13,,
Omen,12,6,46.2,50.0,2860,VCT Americas Stage 1 2026,2026,13,,
Astra,10,6,38.5,60.0,2860,VCT Americas Stage 1 2026,2026,13,,
Fade,10,6,38.5,60.0,2860,VCT Americas Stage 1 2026,2026,13,,
Harbor,7,2,26.9,28.6,2860,VCT Americas Stage 1 2026,2026,13,,
Vyse,7,4,26.9,57.1,2860,VCT Americas Stage 1 2026,2026,13,,
Chamber,5,4,19.2,80.0,2860,VCT Americas Stage 1 2026,2026,13,,
Raze,5,2,19.2,40.0,2860,VCT Americas Stage 1 2026,2026,13,,
Killjoy,4,1,15.4,25.0,2860,VCT Americas Stage 1 2026,2026,13,,
Phoenix,4,4,15.4,100.0,2860,VCT Americas Stage 1 2026,2026,13,,
Kayo,4,3,15.4,75.0,2860,VCT Americas Stage 1 2026,2026,13,,
Veto,3,1,11.5,33.3,2860,VCT Americas Stage 1 2026,2026,13,,
Tejo,3,0,11.5,0.0,2860,VCT Americas Stage 1 2026,2026,13,,
Iso,2,0,7.7,0.0,2860,VCT Americas Stage 1 2026,2026,13,,
Jett,2,2,7.7,100.0,2860,VCT Americas Stage 1 2026,2026,13,,
Skye,2,0,7.7,0.0,2860,VCT Americas Stage 1 2026,2026,13,,
Waylay,2,0,7.7,0.0,2860,VCT Americas Stage 1 2026,2026,13,,
Deadlock,1,0,3.8,0.0,2860,VCT Americas Stage 1 2026,2026,13,,
Cypher,1,1,3.8,100.0,2860,VCT Americas Stage 1 2026,2026,13,,
Neon,115,58,78.8,50.4,2864,VCT CN Stage 1 2026,2026,73,,
Waylay,94,54,64.4,57.4,2864,VCT CN Stage 1 2026,2026,73,,
Viper,82,36,56.2,43.9,2864,VCT CN Stage 1 2026,2026,73,,
Omen,77,38,52.7,49.4,2864,VCT CN Stage 1 2026,2026,73,,
Skye,61,34,41.8,55.7,2864,VCT CN Stage 1 2026,2026,73,,
Fade,42,18,28.8,42.9,2864,VCT CN Stage 1 2026,2026,73,,
Brimstone,41,21,28.1,51.2,2864,VCT CN Stage 1 2026,2026,73,,
Cypher,40,26,27.4,65.0,2864,VCT CN Stage 1 2026,2026,73,,
Sova,30,14,20.5,46.7,2864,VCT CN Stage 1 2026,2026,73,,
Astra,29,15,19.9,51.7,2864,VCT CN Stage 1 2026,2026,73,,
Killjoy,27,12,18.5,44.4,2864,VCT CN Stage 1 2026,2026,73,,
Raze,16,7,11.0,43.8,2864,VCT CN Stage 1 2026,2026,73,,
Tejo,16,8,11.0,50.0,2864,VCT CN Stage 1 2026,2026,73,,
Phoenix,15,8,10.3,53.3,2864,VCT CN Stage 1 2026,2026,73,,
Jett,10,5,6.8,50.0,2864,VCT CN Stage 1 2026,2026,73,,
Chamber,8,0,5.5,0.0,2864,VCT CN Stage 1 2026,2026,73,,
Kayo,6,4,4.1,66.7,2864,VCT CN Stage 1 2026,2026,73,,
Vyse,5,2,3.4,40.0,2864,VCT CN Stage 1 2026,2026,73,,
Breach,4,1,2.7,25.0,2864,VCT CN Stage 1 2026,2026,73,,
Veto,4,1,2.7,25.0,2864,VCT CN Stage 1 2026,2026,73,,
Sage,3,1,2.1,33.3,2864,VCT CN Stage 1 2026,2026,73,,
Harbor,2,2,1.4,100.0,2864,VCT CN Stage 1 2026,2026,73,,
Miks,2,0,1.4,0.0,2864,VCT CN Stage 1 2026,2026,73,,
Gekko,1,0,0.7,0.0,2864,VCT CN Stage 1 2026,2026,73,,
