rank_pr,rank_wr,rank_wr_vs50,rank_pr_slope,rank_pr_avg3,rank_pr_peak,vct_pr_last,vct_wr_last,vct_pr_avg,vct_pre_n,vct_profile,vct_pr_peak_all,vct_pr_slope,rank_vct_gap,n_total_patches,n_nerf_patches,n_buff_patches,acts_since_patch,last_direction,last_combined,last_rank_verdict,last_vct_verdict,last_max_skill_w,last_trigger_type,recent_dual_miss_count,recent_buff_fail_count,patch_streak,patch_streak_direction,map_dep_score,top_map_in_rotation,effective_map_dep,map_explains_vct_drop,pro_rank_ratio,agent_team_synergy,agent_complexity,agent_replaceability,design_rank_only,design_pro_only,rank_low_unexpected,vct_low_unexpected,both_weak_signal,kit_score,has_smoke,has_cc,has_info,has_mobility,has_heal,has_revive,high_value_smoke,high_value_cc,kit_pr_gap,replaceable_low_pr,low_kit_weak_signal,agent_tier_score,tier_gap,op_synergy,geo_synergy,geo_bonus,smoke_vct_dom,mobility_rank_dom,kit_x_rank_pr,heal_low_rank,revive_low_rank,info_low_vct,cc_low_rank,smoke_low_vct,rank_dominant_flag,skill_ceiling_score,pro_dominant_flag,map_versatility,map_hhi,map_specialist,specialist_low_pr,versatile_nerf_signal,rank_pr_vs_peak,buff_miss_flag,nerf_miss_flag,buff_hit_flag,nerf_hit_flag,dir_verdict_code,strength_vs_direction,agent,act,act_idx,label,label_direction,label_skill,label_trigger,label_context,label_has_rework,label_group
2.522,49.43,-0.5700000000000003,0.7249999999999999,1.6973333333333336,5.171,21.5,43.2,22.733333333333334,3,pro_staple,24.2,-0.5000000000000021,-20.211333333333336,2,2,0,4,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,1.0,1,1.0,0.0,8.52498017446471,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.9956,0.0,0.0,3,0.5,0.0,1.0,0.0,2.15,0.0,1.765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.353,0.48771997679365686,0.0,0.0,0.0,0.0,0.0,0.5700000000000003,Astra,E6A1,11,stable_balanced,none,none,none,none,0.0,stable
2.352,49.46,-0.5399999999999991,0.427,2.124,5.171,21.5,43.2,22.733333333333334,3,pro_staple,24.2,-0.5000000000000021,-20.381333333333334,2,2,0,5,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,1.0,1,1.0,0.0,9.141156462585034,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0296,0.0,0.0,3,0.5,0.0,1.0,0.0,2.15,0.0,1.646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.3,0.0,0.0,0.329,0.4548443241152581,0.0,0.0,0.0,0.0,0.0,0.5399999999999991,Astra,E6A2,12,stable_balanced,none,none,none,none,0.0,stable
2.605,50.05,0.04999999999999716,0.041499999999999815,2.493,5.171,21.5,43.2,22.733333333333334,3,pro_staple,24.2,-0.5000000000000021,-20.128333333333334,2,2,0,6,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,1.95,1,1.95,0.0,8.253358925143955,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.979,0.0,0.0,3,0.5,0.0,1.0,0.0,2.15,0.0,1.824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0363,0.0,0.0,0.502,0.5037710307484046,0.0,0.0,0.0,0.0,0.0,-0.04999999999999716,Astra,E6A3,13,stable_balanced,none,none,none,none,0.0,stable
3.409,50.2,0.20000000000000284,0.5284999999999997,2.7886666666666664,5.171,31.6,46.0,25.76666666666667,4,pro_staple,31.6,3.699999999999997,-22.35766666666667,2,2,0,7,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,2.36,1,2.36,0.0,9.269580522147258,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8182,0.0,0.0,3,0.5,0.0,1.0,0.0,3.0,0.0,2.386,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.063,0.0,0.0,0.639,0.6592535292980081,0.0,0.0,0.0,0.0,0.0,-0.20000000000000284,Astra,E7A1,14,stable_balanced,none,none,none,none,0.0,stable
0.674,48.33,-1.6700000000000017,-0.9654999999999995,2.2293333333333334,5.171,23.2,52.4,20.866666666666664,7,pro_staple,31.6,0.9999999999999992,-20.192666666666664,2,2,0,8,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,1.71,0,0.0,0.0,34.4213649851632,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3652,0.0,0.0,3,0.5,0.0,1.0,0.0,2.32,0.0,0.472,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0385,0.0,0.0,0.13,0.1303422935602398,0.0,0.0,0.0,0.0,0.0,1.6700000000000017,Astra,E7A2,15,stable_balanced,none,none,none,none,0.0,stable
1.894,50.1,0.10000000000000142,-0.7575000000000002,1.9923333333333335,5.171,16.9,57.1,19.433333333333334,8,pro_staple,31.6,-0.6499999999999996,-17.539333333333335,2,2,0,9,nerf,UNKNOWN,OVERSHOOT,NO_DATA,3.0,skill_ceil,0,0,2,nerf,1.586,0,0.0,0.0,8.922914466737064,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1212,0.0,0.0,3,0.5,0.0,1.0,0.0,1.69,0.0,1.326,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0275,0.0,0.0,0.368,0.36627344807580736,0.0,0.0,0.0,0.0,0.0,-0.10000000000000142,Astra,E7A3,16,nerf_E_rank,nerf,E,rank,first,,nerf
1.435,50.15,0.14999999999999858,0.3805,1.3343333333333334,5.171,16.9,57.1,19.433333333333334,8,pro_staple,31.6,-0.6499999999999996,-17.998333333333335,3,3,0,0,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,1.827,1,1.827,0.0,11.777003484320556,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.213,0.0,0.0,3,0.5,0.0,1.0,0.0,1.69,0.0,1.005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.056,0.0,0.0,0.271,0.2775091858441307,0.0,0.0,0.0,0.0,-0.5,-0.14999999999999858,Astra,E8A1,17,stable_balanced,none,none,none,none,0.0,stable
0.436,45.98,-4.020000000000003,-0.7289999999999998,1.255,5.171,16.9,57.1,19.433333333333334,8,pro_staple,31.6,-0.6499999999999996,-18.997333333333334,3,3,0,1,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,1.582,1,1.582,0.0,33.8,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.4128,0.0,0.0,3,0.5,0.0,1.0,0.0,1.69,0.0,0.305,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0181,0.0,0.0,0.086,0.08431637981048153,0.0,0.0,0.0,0.0,-0.5,4.020000000000003,Astra,E8A2,18,stable_balanced,none,none,none,none,0.0,stable
0.678,47.33,-2.6700000000000017,-0.3785000000000003,0.8496666666666667,5.171,16.9,57.1,19.433333333333334,8,pro_staple,31.6,-0.6499999999999996,-18.755333333333333,3,3,0,2,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,3.022,0,0.0,0.0,24.92625368731563,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3644,0.0,0.0,3,0.5,0.0,1.0,0.0,1.69,0.0,0.475,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.1208,0.0,0.0,0.119,0.1311158383291433,0.0,0.0,0.0,0.0,-0.5,2.6700000000000017,Astra,E8A3,19,stable_balanced,none,none,none,none,0.0,stable
1.022,46.89,-3.1099999999999994,0.293,0.7120000000000001,5.171,16.9,57.1,19.433333333333334,8,pro_staple,31.6,-0.6499999999999996,-18.411333333333335,3,3,0,3,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,2.836,0,0.0,0.0,16.53620352250489,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2956,0.0,0.0,3,0.5,0.0,1.0,0.0,1.69,0.0,0.715,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0995,0.0,0.0,0.184,0.1976406884548443,0.0,0.0,0.0,0.0,-0.5,3.1099999999999994,Astra,E9A1,20,stable_balanced,none,none,none,none,0.0,stable
2.247,50.13,0.13000000000000256,0.7844999999999999,1.3156666666666668,5.171,29.8,54.0,23.299999999999997,9,pro_staple,31.6,3.2999999999999994,-21.052999999999997,3,3,0,4,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,1.78,1,1.78,0.0,13.26212728081887,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0506,0.0,0.0,3,0.5,0.0,1.0,0.0,2.98,0.0,1.573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0285,0.0,0.0,0.437,0.4345387739315412,0.0,0.0,0.0,0.0,-0.5,-0.13000000000000256,Astra,E9A2,21,stable_balanced,none,none,none,none,0.0,stable
