act,map,agent,uuid,matches,win_rate,kd
E6A3,Bind,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,43821,49.56,0.0
E6A3,Fracture,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,84726,51.51,0.0
E6A3,Fracture,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,21959,49.31,0.0
E6A3,Fracture,Omen,8e253930-4c05-31dd-1b6c-968525494517,21668,46.36,0.0
E6A3,Fracture,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,16232,48.78,0.0
E6A3,Fracture,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,45122,50.29,0.0
E6A3,Fracture,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,15072,50.51,0.0
E6A3,Fracture,Viper,707eab51-4836-f488-046a-cda6bf494859,23328,49.26,0.0
E6A3,Fracture,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,6945,46.77,0.0
E6A3,Fracture,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,73294,49.88,0.0
E6A3,Fracture,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,4386,44.78,0.0
E6A3,Fracture,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,26083,48.68,0.0
E6A3,Fracture,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,66760,51.09,0.0
E6A3,Fracture,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,19234,49.86,0.0
E6A3,Fracture,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,26310,49.71,0.0
E6A3,Fracture,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,7348,47.93,0.0
E6A3,Fracture,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,57027,50.92,0.0
E6A3,Fracture,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,17072,46.3,0.0
E6A3,Fracture,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,7910,48.63,0.0
E6A3,Fracture,Raze,f94c3b30-42be-e959-889c-5aa313dba261,48575,50.31,0.0
E6A3,Fracture,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,91649,50.23,0.0
E6A3,Fracture,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,35185,50.25,0.0
E6A3,Haven,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,34107,51.85,0.0
E6A3,Haven,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,14990,50.04,0.0
E6A3,Haven,Omen,8e253930-4c05-31dd-1b6c-968525494517,89308,49.54,0.0
E6A3,Haven,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,6066,47.23,0.0
E6A3,Haven,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,56238,50.71,0.0
E6A3,Haven,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,25919,51.77,0.0
E6A3,Haven,Viper,707eab51-4836-f488-046a-cda6bf494859,3791,46.74,0.0
E6A3,Haven,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,6769,47.92,0.0
E6A3,Haven,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,21290,48.59,0.0
E6A3,Haven,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,1920,44.32,0.0
E6A3,Haven,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,25048,48.82,0.0
E6A3,Haven,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,73748,50.52,0.0
E6A3,Haven,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,15857,50.33,0.0
E6A3,Haven,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,37847,49.39,0.0
E6A3,Haven,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,55110,50.56,0.0
E6A3,Haven,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,61904,50.5,0.0
E6A3,Haven,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,14438,45.71,0.0
E6A3,Haven,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,13940,49.32,0.0
E6A3,Haven,Raze,f94c3b30-42be-e959-889c-5aa313dba261,31972,50.35,0.0
E6A3,Haven,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,107081,50.01,0.0
E6A3,Haven,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,29849,49.39,0.0
E6A3,Lotus,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,25846,51.43,0.0
E6A3,Lotus,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,17711,49.42,0.0
E6A3,Lotus,Omen,8e253930-4c05-31dd-1b6c-968525494517,76290,49.79,0.0
E6A3,Lotus,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,9950,47.81,0.0
E6A3,Lotus,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,41807,50.9,0.0
E6A3,Lotus,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,16279,51.08,0.0
E6A3,Lotus,Viper,707eab51-4836-f488-046a-cda6bf494859,11585,49.6,0.0
E6A3,Lotus,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,6635,47.37,0.0
E6A3,Lotus,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,39376,49.13,0.0
E6A3,Lotus,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,14597,47.73,0.0
E6A3,Lotus,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,36701,49.4,0.0
E6A3,Lotus,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,66848,50.5,0.0
E6A3,Lotus,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,40964,50.96,0.0
E6A3,Lotus,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,44592,49.72,0.0
E6A3,Lotus,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,11576,49.28,0.0
E6A3,Lotus,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,59518,50.82,0.0
E6A3,Lotus,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,13641,44.89,0.0
E6A3,Lotus,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,14640,50.59,0.0
E6A3,Lotus,Raze,f94c3b30-42be-e959-889c-5aa313dba261,60294,50.61,0.0
E6A3,Lotus,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,88467,50.07,0.0
E6A3,Lotus,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,20687,49.23,0.0
E6A3,Pearl,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,24097,51.88,0.0
E6A3,Pearl,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,37403,50.4,0.0
E6A3,Pearl,Omen,8e253930-4c05-31dd-1b6c-968525494517,20580,48.01,0.0
E6A3,Pearl,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,8506,46.6,0.0
E6A3,Pearl,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,48528,51.12,0.0
E6A3,Pearl,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,27972,51.85,0.0
E6A3,Pearl,Viper,707eab51-4836-f488-046a-cda6bf494859,48285,50.3,0.0
E6A3,Pearl,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,8559,48.12,0.0
E6A3,Pearl,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,7790,47.06,0.0
E6A3,Pearl,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,26662,46.89,0.0
E6A3,Pearl,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,31157,48.15,0.0
E6A3,Pearl,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,69388,50.59,0.0
E6A3,Pearl,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,38980,51.14,0.0
E6A3,Pearl,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,42034,49.83,0.0
E6A3,Pearl,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,46378,50.92,0.0
E6A3,Pearl,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,14680,49.37,0.0
E6A3,Pearl,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,18954,45.53,0.0
E6A3,Pearl,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,33010,51.05,0.0
E6A3,Pearl,Raze,f94c3b30-42be-e959-889c-5aa313dba261,28599,50.73,0.0
E6A3,Pearl,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,102103,49.83,0.0
E6A3,Pearl,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,32981,50.13,0.0
E6A3,Split,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,30733,51.76,0.0
E6A3,Split,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,13736,49.05,0.0
E6A3,Split,Omen,8e253930-4c05-31dd-1b6c-968525494517,77032,49.6,0.0
E6A3,Split,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,5034,47.22,0.0
E6A3,Split,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,94592,51.62,0.0
E6A3,Split,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,15158,50.56,0.0
E6A3,Split,Viper,707eab51-4836-f488-046a-cda6bf494859,11283,48.21,0.0
E6A3,Split,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,6371,47.04,0.0
E6A3,Split,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,17784,48.68,0.0
E6A3,Split,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,2326,44.63,0.0
E6A3,Split,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,17388,47.76,0.0
E6A3,Split,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,62297,50.78,0.0
E6A3,Split,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,18058,49.5,0.0
E6A3,Split,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,58317,50.34,0.0
E6A3,Split,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,11212,48.44,0.0
E6A3,Split,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,40872,50.02,0.0
E6A3,Split,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,18019,45.97,0.0
E6A3,Split,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,23268,49.76,0.0
E6A3,Split,Raze,f94c3b30-42be-e959-889c-5aa313dba261,73246,50.93,0.0
E6A3,Split,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,84486,49.55,0.0
E6A3,Split,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,44220,49.11,0.0
E7A1,ALL,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,337409,51.8,0.0
E7A1,ALL,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,120533,49.39,0.0
E7A1,ALL,Omen,8e253930-4c05-31dd-1b6c-968525494517,455174,49.02,0.0
E7A1,ALL,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,46959,48.08,0.0
E7A1,ALL,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,303220,51.42,0.0
E7A1,ALL,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,140743,51.43,0.0
E7A1,ALL,Viper,707eab51-4836-f488-046a-cda6bf494859,97783,49.52,0.0
E7A1,ALL,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,55924,47.46,0.0
E7A1,ALL,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,202451,49.04,0.0
E7A1,ALL,Deadlock,cc8b64c8-4b25-4ff9-6e7f-37b4da43d235,150692,49.4,0.0
E7A1,ALL,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,40908,46.34,0.0
E7A1,ALL,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,250459,49.04,0.0
E7A1,ALL,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,481897,50.55,0.0
E7A1,ALL,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,113246,49.82,0.0
E7A1,ALL,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,376908,50.11,0.0
E7A1,ALL,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,350216,50.6,0.0
E7A1,ALL,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,226979,50.42,0.0
E7A1,ALL,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,100459,45.25,0.0
E7A1,ALL,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,143098,50.04,0.0
E7A1,ALL,Raze,f94c3b30-42be-e959-889c-5aa313dba261,401716,50.64,0.0
E7A1,ALL,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,725278,49.9,0.0
E7A1,ALL,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,233402,49.71,0.0
