act_name,act_idx,agent,win_rate_pct,pick_rate_pct,matches,total_matches_dp,kd,kills,deaths,avg_score,source,overlap_vstats
E9A2,21,Raze,48.49,5.112,134973.0,2640318,1.022,16.4,16.0,232.0,maxmunzy,True
E9A2,21,Reyna,49.26,10.601,279903.0,2640318,1.104,17.3,15.7,237.0,maxmunzy,True
E9A2,21,Sage,49.84,2.906,76728.0,2640318,0.92,13.7,15.0,190.0,maxmunzy,True
E9A2,21,Skye,48.57,1.525,40272.0,2640318,0.931,14.0,15.1,193.0,maxmunzy,True
E9A2,21,Sova,49.76,9.72,256638.0,2640318,0.992,14.5,14.6,200.0,maxmunzy,True
E9A2,21,Viper,48.62,1.566,41359.0,2640318,1.025,15.2,14.9,207.0,maxmunzy,True
E9A2,21,Vyse,48.66,0.879,23216.0,2640318,1.003,14.7,14.7,203.0,maxmunzy,True
E9A2,21,Yoru,47.88,0.569,15031.0,2640318,1.025,16.2,15.8,222.0,maxmunzy,True
E9A3,22,Breach,48.31,2.504,444398.0,17750113,0.934,14.2,15.2,195.0,maxmunzy,True
E9A3,22,Brimstone,48.72,1.749,310363.0,17750113,0.977,14.6,14.9,207.0,maxmunzy,True
E9A3,22,Chamber,48.49,4.826,856655.0,17750113,1.101,16.4,14.9,220.0,maxmunzy,True
E9A3,22,Clove,52.05,11.712,2078954.0,17750113,0.959,16.7,17.4,229.0,maxmunzy,True
E9A3,22,Cypher,49.74,10.129,1797869.0,17750113,1.013,14.7,14.5,198.0,maxmunzy,True
E9A3,22,Deadlock,50.45,1.789,317573.0,17750113,1.015,15.1,14.8,202.0,maxmunzy,True
E9A3,22,Fade,49.31,2.177,386384.0,17750113,0.949,14.2,14.9,195.0,maxmunzy,True
E9A3,22,Gekko,49.62,4.744,842055.0,17750113,0.925,13.8,14.9,187.0,maxmunzy,True
E9A3,22,Iso,50.14,3.294,584615.0,17750113,1.102,17.6,15.9,243.0,maxmunzy,True
E9A3,22,Jett,48.91,13.206,2344073.0,17750113,1.071,17.1,16.0,234.0,maxmunzy,True
E9A3,22,Killjoy,48.99,3.808,675935.0,17750113,1.009,14.6,14.5,200.0,maxmunzy,True
E9A3,22,Neon,50.48,4.766,846027.0,17750113,0.993,16.5,16.6,230.0,maxmunzy,True
E9A3,22,Phoenix,50.36,2.764,490620.0,17750113,1.091,17.0,15.6,236.0,maxmunzy,True
E9A3,22,Raze,48.72,5.167,917071.0,17750113,1.026,16.5,16.0,233.0,maxmunzy,True
E9A3,22,Reyna,49.43,10.227,1815319.0,17750113,1.107,17.3,15.6,237.0,maxmunzy,True
E9A3,22,Sage,50.23,3.617,641962.0,17750113,0.931,13.9,14.9,193.0,maxmunzy,True
E9A3,22,Skye,48.54,3.248,576595.0,17750113,0.936,14.1,15.1,194.0,maxmunzy,True
E9A3,22,Sova,49.61,8.105,1438716.0,17750113,0.999,14.6,14.6,202.0,maxmunzy,True
E9A3,22,Viper,48.28,0.467,82822.0,17750113,1.039,15.5,14.9,212.0,maxmunzy,True
E9A3,22,Vyse,48.8,1.018,180699.0,17750113,1.007,14.8,14.7,203.0,maxmunzy,True
E9A3,22,Yoru,47.92,0.684,121408.0,17750113,1.026,16.2,15.7,222.0,maxmunzy,True
