agent,patch,patch_act,direction,n_changes,n_skills_changed,trigger_type,has_mechanic,value_chg_max_abs,max_skill_weight,patch_importance_score,has_identity_change,identity_nerfed,identity_buffed,has_ult_change,mobility_skill_nerfed,rank_pr_t-1,rank_wr_t-1,rank_pr_pre_avg,rank_wr_pre_avg,rank_pr_pre_slope,rank_wr_vs50_pre,rank_pre_n_acts,vct_pr_t-1,vct_pr_pre_avg,vct_pr_pre_slope,vct_absence_pre,vct_pre_n_events,rank_vct_pr_gap_pre,vct_rank_pr_ratio,agent_role,agent_subrole,role_rank_pre,role_pr_share_pre,role_rival_pr_mean_pre,role_meta_trend,subrole_rank_pre,subrole_rival_pr_mean_pre,subrole_meta_trend,n_prev_patches,prev_nerf_count,prev_buff_count,acts_since_last_patch,last_patch_direction,multi_patch_4acts,rank_verdict,vct_verdict,vct_profile,combined_verdict,verdict_label,verdict_source
Vyse,11.08,E12A1,nerf,6,3,rank_stat,0,0.5,3.0,2.25,1.0,1.0,0.0,1,0,0.685,48.22,0.536,47.537,0.147,-2.463,3.0,11.0,6.1,-9.8,24,2.0,-0.515,1.752,sentinel,trapper,6.0,0.036,3.688,-0.3645,3.0,2.883,-2.4185,2,2,0,4,nerf,1,MISS,MISS,pro_viable,DUAL_MISS,DUAL_MISS,rank
Vyse,9.07,E10A1,nerf,1,1,rank_stat,1,,2.0,2.0,0.0,0.0,0.0,0,0,1.018,48.8,0.949,48.73,0.139,-1.27,2.0,,,,13,,,,sentinel,trapper,6.0,0.045,4.304,1.0865,3.0,6.196,0.346,0,0,0,99,none,0,MISS,MISS,pro_unknown,DUAL_MISS,DUAL_MISS,rank
Vyse,9.11,E10A3,nerf,1,1,rank_stat,1,0.3333333333333333,3.0,3.0,1.0,1.0,0.0,0,0,5.061,49.02,4.055,48.97,2.0215,-1.03,3.0,,,,18,,,,sentinel,trapper,2.0,0.211,3.795,0.7505,2.0,5.271,1.097,1,1,0,2,nerf,1,OVERSHOOT,MISS,pro_unknown,RANK_ONLY_OVERSHOOT,RANK_ONLY_OVERSHOOT,rank
Waylay,11.08,E12A1,nerf,5,1,rank_stat,0,,2.0,2.0,0.0,0.0,0.0,0,0,,,,,,,,36.4,37.85,2.9,28,2.0,,,duelist,entry_fragger,,0.0,4.899,-0.976,4.0,6.1,-0.7385,0,0,0,99,none,0,NO_DATA,OVERSHOOT,pro_staple,UNKNOWN,PENDING,none
Yoru,10.04,E11A1,nerf,5,3,rank_stat,0,,2.0,1.75,0.0,0.0,0.0,1,0,2.37,48.88,2.314,49.11,0.109,-0.89,3.0,1.2,1.45,0.5,2,2.0,0.67,0.717,duelist,skirmisher,7.0,0.065,5.72,0.7605,4.0,4.875,1.0565,6,6,0,15,nerf,0,MISS,MISS,pro_marginal,DUAL_MISS,DUAL_MISS,rank
Yoru,10.06,E11A1,buff,1,1,rank_stat,0,1.0,2.0,2.0,0.0,0.0,0.0,0,0,2.37,48.88,2.314,49.11,0.109,-0.89,3.0,1.2,1.45,0.5,2,2.0,0.67,0.717,duelist,skirmisher,7.0,0.065,5.72,0.7605,4.0,4.875,1.0565,6,6,0,15,nerf,0,MISS,OVERSHOOT,pro_marginal,MIXED,MIXED,vct
Yoru,10.08,E11A2,nerf,1,1,rank_stat,0,,2.0,2.0,0.0,0.0,0.0,1,0,2.642,48.65,2.477,48.87,0.1115,-1.13,3.0,1.2,1.45,0.5,2,2.0,0.942,0.643,duelist,skirmisher,5.0,0.073,5.601,1.128,2.0,4.609,0.5215,8,7,1,1,buff,1,MISS,MISS,pro_marginal,DUAL_MISS,DUAL_MISS,rank
Yoru,11.08,E12A1,nerf,4,3,rank_stat,1,0.6666666666666666,3.0,1.75,1.0,1.0,0.0,0,1,2.677,48.81,2.947,48.817,0.0175,-1.183,3.0,61.9,60.7,-2.4,2,2.0,-56.823,22.226,duelist,skirmisher,5.0,0.078,5.269,-0.976,2.0,4.439,-0.2375,9,8,1,2,nerf,1,MISS,HIT,pro_staple,RANK_FAIL,RANK_FAIL,vct
Yoru,12.05,V26A2,nerf,3,2,rank_stat,0,,3.0,2.0,1.0,1.0,0.0,0,1,4.518,49.01,3.572,48.937,0.4985,-1.063,3.0,61.9,60.7,-2.4,2,2.0,-54.982,13.17,duelist,skirmisher,3.0,0.133,4.918,-0.9305,2.0,3.679,-0.8895,10,9,1,1,nerf,1,OVERSHOOT,OVERSHOOT,pro_staple,DUAL_OVERSHOOT,DUAL_OVERSHOOT,vct
Yoru,2.03,E2A1,nerf,1,1,rank_stat,1,,2.0,2.0,0.0,0.0,0.0,1,0,,,,,,,,,,,0,,,,duelist,skirmisher,,,,,,,,0,0,0,99,none,0,NO_DATA,NO_DATA,pro_unknown,UNKNOWN,PENDING,none
Yoru,2.07,E2A3,nerf,1,1,rank_stat,1,,3.0,3.0,1.0,1.0,0.0,0,1,0.683,42.63,1.684,43.665,-2.002,-6.335,2.0,,,,0,,,,duelist,skirmisher,5.0,0.016,10.722,-4.569,3.0,8.963,-4.936,1,1,0,2,nerf,1,MISS,NO_DATA,pro_unknown,UNKNOWN,UNKNOWN,rank
Yoru,4.04,E4A2,nerf,9,1,rank_stat,0,1.0,2.0,2.0,0.0,0.0,0.0,1,0,0.345,44.56,0.532,42.907,-0.1775,-7.093,3.0,,,,0,,,,duelist,skirmisher,6.0,0.008,8.226,0.7375,3.0,6.564,-1.853,2,2,0,5,nerf,0,MISS,NO_DATA,pro_unknown,UNKNOWN,UNKNOWN,rank
Yoru,5.01,E5A1,nerf,8,2,rank_stat,0,,3.0,3.0,1.0,1.0,0.0,1,1,0.973,46.79,0.827,45.883,0.314,-4.117,3.0,1.7,1.7,0.0,0,1.0,-0.727,1.747,duelist,skirmisher,5.0,0.029,6.464,-4.093,2.0,5.915,-0.336,3,3,0,2,nerf,1,MISS,MISS,pro_marginal,DUAL_MISS,DUAL_MISS,rank
Yoru,5.07,E5A2,nerf,4,1,rank_stat,0,2.0,1.0,1.0,0.0,0.0,0.0,0,0,1.132,47.05,1.089,46.713,-0.0155,-3.287,3.0,1.7,1.7,0.0,0,1.0,-0.568,1.502,duelist,skirmisher,6.0,0.034,6.44,-1.9425,3.0,6.37,0.3065,4,4,0,1,nerf,1,MISS,MISS,pro_marginal,DUAL_MISS,DUAL_MISS,rank
Yoru,5.12,E6A1,nerf,11,1,rank_stat,0,0.4,3.0,3.0,1.0,1.0,0.0,0,1,1.173,47.8,1.093,47.213,0.1,-2.787,3.0,1.2,1.45,0.5,0,2.0,-0.527,1.449,duelist,skirmisher,6.0,0.036,6.322,-0.255,3.0,6.378,0.564,5,5,0,1,nerf,1,HIT,HIT,pro_marginal,DUAL_HIT,DUAL_HIT,vct
